	Item ID	Source	Agency	Rep	Supplier	Customer	Account	Net billed	Added	Billing Month
0	n1225038	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	2022-07-01
1	n1292501	Dianil	DVD Bounce	Charlemagne	Impetus	Sagittariid & Sudanic Lodoicea	092010394940-	$2,750.00 	2022-01-15	
2	n1226331	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	2022-07-01
3	n1241320	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Julianto Kyrie Alaster Carniolan Iglulirmiut	21847304	$0.15 	2022-02-07	2022-07-01
4	n1275274	Dianil	PanGalactic GargleBlasters	Ricky Gervaise	SW Walker	Elysia & Epigaea Monostomum Loranthus	9763411515498	$54.74 	2022-07-13	
5	n1228098	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	2022-07-01
6	n1218240	Teucrian	Pursuit Partners	Dick Wolff	LocalMax	Pedetinae Madelon	74137147131	$84.95 	2022-09-12	Jun
7	n1219562	Insecta	DVD Bounce	Charlemagne	Physics Portmanteau	Slavophilism Aroras Saccomyoidea Megaric & Fermatian Lasi	B83M7790	$50.00 	2022-04-05	2022-07-31
8	n1224870	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	2022-07-01
9	n1201517	Insecta	Undertow Tech	Joey Bosa	PharoTek	Nanny Yale Sjouke	19384693	$0.11 	2022-02-06	2022-07-01
10	n1241841	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Axonopus Utopian Pleurobrachia	42859314	$0.14 	2022-02-07	2022-07-01
11	n1208641	Insecta	Undertow Tech	Joey Bosa	GhostGlass	Vespidae Ottomanize Apotactic Incan	376480	$20.00 	2022-02-06	2022-08-01
12	n1198650	Dianil	DVD Bounce	Charlemagne	Mettle Tester	Rubia Austrophilism Satanism Caesalpinia	738556	$0.00 	2022-01-18	09-08-22
13	n1265677	Antiochian Cocle	Undertow Tech	Joey Bosa	GhostGlass	Vespidae Ottomanize Apotactic Incan	441943	$72.00 	2022-02-06	
14	n1238715	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Desmanthus Sericocarpus & Capricorn	73883187	$0.15 	2022-02-07	2022-07-01
15	n1194424	Tarahumar - Siphonariidae & Elephantopus	LaTeX	Michael Scott	Skynet	Tagalo Porphyrianist Heliogabalize	433	$54.95 	2022-01-21	
16	n1223876	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	2022-07-01
17	n1252964	Antiochian Cocle	The Weather Channel	Gary Fern	Apple Core	Nemichthys	89211	$247.50 	2021-06-01	
18	n1248894	Insecta	Bermuda Triangle	Eleanor of Acquitaine	Ablative Company	Daedal Rasalas Ephydra	9112921	$916.00 	2022-01-24	2022-07-01
19	n1259661	Antiochian Cocle	U2	K2	Perfect Square	Diegueno Speranza	4421682B10140Q2	$115.00 	2021-08-27	7/1/2022 12:00:00 AM
20	n1204804	Insecta	Undertow Tech	Joey Bosa	Genomicon	Irishy Hochheimer Aglyphodonta Lamut	7208318	$26.00 	2022-03-07	2022-08-01
21	n1262514	Antiochian Cocle	Undertow Tech	Joey Bosa	Archery	Wochua Mayo Ineri	3605402	$28.53 	2022-02-06	
22	n1290021	Xenophonic	SQL Answers	Jonah J. Jameson	Mettle Tester	Mosaical Tang	73986	$41.29 	2022-02-06	
23	n1223466	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Mosaical Tang	22C505505G26-	$487.83 	2022-02-07	2022-07-01
24	n1200050	Insecta	Undertow Tech	Joey Bosa	Perfect Square	Rhodesoid Comtism Italiote	16O3-00020030C01	$20.36 	2022-02-06	2022-07-01
25	n1212960	Insecta	Undertow Tech	Joey Bosa	Darwin	Frenchwoman Anapterygota Knoxian & Sarcocystidea Lucia	-02270317413271	$65.24 	2022-02-06	2022-07-01
26	n1209943	Insecta	Undertow Tech	Joey Bosa	GhostGlass	Vespidae Ottomanize Apotactic Incan	104369	$205.00 	2022-02-06	2022-08-01
